e, e_dot, e_int, stamp, 
-0.8141043774709467, 0.0, -0.16282087549418933, 1764197398899023953, 
-0.8141043774709467, 0.0, -0.16282087549418933, 1764197398899023953, 
-0.8141043774709467, 0.0, -0.16282087549418933, 1764197398899023953, 
-0.8141043774709467, 0.0, -0.16282087549418933, 1764197398899023953, 
-0.8141043774709467, 0.0, -0.16282087549418933, 1764197398899023953, 
-0.8141043774709467, 0.0, -0.16282087549418933, 1764197398899023953, 
-0.8757666597032783, -0.2055409407744387, -0.1669316943096781, 1764197443390819872, 
-0.8746754370174071, -0.2019035318215349, -0.1709697649461088, 1764197443540736281, 
-0.8621955137946312, 0.04523715302882351, -0.1741758407010211, 1764197443700717445, 
-0.8475069803194312, 0.09056152232658654, -0.17229186207543132, 1764197443790743057, 
-0.839222804068622, 0.07657569908669726, -0.16992835321217897, 1764197443940797068, 
-0.7855524868247694, 0.2065149783155392, -0.16481881808085486, 1764197444101284630, 
-0.787757923064656, 0.17154960334655356, -0.16083554759720317, 1764197444190772643, 
-0.763522869793645, 0.0734320567704146, -0.1557888853122047, 1764197444340876309, 
-0.6685266205426855, 0.39743767507323485, -0.1479871608933991, 1764197444481735759, 
-0.6226368961935662, 0.4696199120002627, -0.13697909243532644, 1764197444641734525, 
-0.6075536474339739, 0.20324324369570546, -0.12658114427801503, 1764197444741289303, 
-0.5823736292245716, 0.13421088989664876, -0.12083761152347412, 1764197444901078749, 
-0.5727376770799287, 0.11605323451348386, -0.11751099691589827, 1764197445042245360, 
-0.4567605356508847, 0.41871031191228963, -0.10745812279702566, 1764197445141131493, 
-0.4039875457764006, 0.5625004376784271, -0.09556571723381427, 1764197445300577164, 
-0.36831238160155344, 0.29482718016443754, -0.08193736420192259, 1764197445443239613, 
-0.31892671789901894, 0.2835360929246056, -0.07274844301846486, 1764197445540251132, 
-0.19259188665496518, 0.5857349831552942, -0.05865539907703584, 1764197445681913363, 
-0.15559655670896633, 0.5444338706335087, -0.0444743440841967, 1764197445841052361, 
-0.08883307649094574, 0.34586270054673146, -0.02913476799032515, 1764197445990000140, 
-0.08471512532840486, 0.2362714379352049, -0.021942983901887796, 1764197446099602613, 
-0.14037284755888213, -0.1717992368931213, -0.02092806995854885, 1764197446240958529, 
-0.14438612788960592, -0.19890334187067019, -0.02463160671845953, 1764197446388799043, 
-0.0655873478497262, 0.2492849990305198, -0.023356421553214282, 1764197446499256283, 
-0.0655873478497262, 0.2626626001329324, -0.018370721572603887, 1764197446499256283, 
-0.05284626606009846, 0.042470272632092465, -0.01226806411730339, 1764197446640824632, 
-0.08055174048010905, -0.049881308767942834, -0.013265690292662247, 1764197446788757029, 
-0.028008606824762916, 0.08279219745111847, -0.010760440890998028, 1764197446903422237, 
-0.028008606824762916, 0.17514377885115376, -0.009104596941975658, 1764197446903422237, 
-0.053376855833498826, -0.0845608300291197, -0.007292937965534977, 1764197447040736586, 
-0.05530979552090898, -0.09100396232048687, -0.009113017211944715, 1764197447187787641, 
-0.0034872550691802395, 0.1662986692143953, -0.007478260428239202, 1764197447280689949, 
0.027696610961079227, 0.27668802160662737, -0.0020733626419339995, 1764197447441741057, 
0.027696610961079227, 0.10394622010086489, 0.0034603977901985477, 1764197447441741057, 
-0.05533891783725986, -0.2767850959944636, 3.620272326572878e-06, 1764197447587824384, 
-0.12392719774151417, -0.5054126956753113, -0.010104633641179653, 1764197447702394609, 
-0.12104020200606413, -0.21900428056268093, -0.020020421172322545, 1764197447840735661, 
-0.12104020200606413, 0.009623319118166792, -0.02440050678357616, 1764197447840735661, 
-0.1834328319344466, -0.2079754330946082, -0.02836754906310499, 1764197447987771526, 
-0.18963967481111366, -0.22866490935016506, -0.03294084725010829, 1764197448131029351, 
-0.18963967481111366, -0.020689476255556876, -0.037514145437111596, 1764197448131029351, 
