e, e_dot, e_int, stamp
 -2.347922888708602, -2.0434673663434527e-11, -0.21153092609641747, 1761170295324763224
 -2.347922888709966, -2.0620569846221536e-11, -0.20921589291165676, 1761170295373780350
 -2.347922888711785, -1.783075681161751e-11, -0.28152619599598366, 1761170295444667586
 -2.347922888713149, -2.0135982229861477e-11, -0.2585906122184701, 1761170295483916255
 -2.347922888714513, -2.0694765242333158e-11, -0.20932640494658789, 1761170295533821453
 -2.3479228887158774, -1.821877164353178e-11, -0.2344201548332045, 1761170295583757760
 -2.347932838300944, -6.520842801068591e-05, -0.23666330490121754, 1761170295634618192
 -2.3396732917336625, 0.05386743546121967, -0.23899448647391341, 1761170295685666722
 -2.33540652315423, 0.09094297456782026, -0.20946640192745467, 1761170295724095349
 -2.323107360156482, 0.11884992979268194, -0.2065006759688986, 1761170295774189937
 -2.298958716287285, 0.19443162736550668, -0.28198089588824354, 1761170295845682991
 -2.285964181067388, 0.22374949915443654, -0.2543545974549385, 1761170295884650338
 -2.2621492684712363, 0.2728855661175382, -0.20096524038002872, 1761170295933734600
 -2.2311988979446475, 0.36792969860670094, -0.22398125547365566, 1761170295983767141
 -2.2031898316942042, 0.3930608810236274, -0.22321162736372135, 1761170296033731775
 -2.1731232682495265, 0.37980608199622506, -0.22445142302031007, 1761170296085674526
 -2.141899117374135, 0.37135738854667527, -0.23961030457608157, 1761170296144012154
 -2.122185254008421, 0.3968589813190859, -0.18972441298597925, 1761170296174093802
 -2.0903253103067074, 0.42589433722424425, -0.17215285796815938, 1761170296225287772
 -2.0552903120143817, 0.4043027659838792, -0.23090152635791716, 1761170296284611764
 -2.0241996424189557, 0.4041563192405755, -0.22482220897923083, 1761170296334604923
 -1.9964438976321834, 0.3921598231945905, -0.2026147636316577, 1761170296384653059
 -1.9678477700195152, 0.3755459345042724, -0.19968903935974777, 1761170296434641324
 -1.9414802363159702, 0.38170607891275515, -0.18898464383783697, 1761170296480653030
 -1.9180792322751508, 0.36837270810068673, -0.17481030593792338, 1761170296524635192
 -1.8773858936558605, 0.3696127797426103, -0.21902620727032016, 1761170296595187609
 -1.8524406100697273, 0.377894663012501, -0.21715320058634993, 1761170296639980531
 -1.8247555375335351, 0.3927369509835746, -0.1654380844074601, 1761170296684539832
 -1.7964966247882503, 0.39498934033767324, -0.17277532793669428, 1761170296734674553
 -1.7682531433939785, 0.37620343227949177, -0.179879300896254, 1761170296784667371
 -1.7400640873357243, 0.37262916091355414, -0.178548430980561, 1761170296835647991
 -1.7152880972605433, 0.36781393053851774, -0.16713194088459007, 1761170296880653915
 -1.6928685577513247, 0.3551971433035841, -0.15192693374072136, 1761170296924179704
 -1.668505518990404, 0.33485216306073656, -0.1578843611413224, 1761170296973954014
 -1.635806101634569, 0.32416928938946715, -0.19567238548540222, 1761170297041649384
 -1.612972413357388, 0.3380303914988068, -0.18143522211052632, 1761170297084646352
 -1.586216788553102, 0.35533406672111445, -0.14990463437568366, 1761170297134661657
 -1.560625659889347, 0.3490210551043176, -0.1586395696605905, 1761170297184633163
 -1.5368570677628326, 0.33570386700721916, -0.1529838911867577, 1761170297232650794
 -1.5116652707715006, 0.3328758775045359, -0.15062393298739887, 1761170297282671195
 -1.4905277535000212, 0.33911322304704555, -0.13793757604005644, 1761170297323818047
 -1.4665353263321663, 0.3295380706551305, -0.13654546546504798, 1761170297374338525
 -1.4432581056823075, 0.3124228182306456, -0.14794534886846883, 1761170297424682513
 -1.4163780737989362, 0.30362535884235764, -0.15902355222352751, 1761170297484614009
 -1.392825219399369, 0.3062976017567178, -0.1559284721212569, 1761170297534685961
 -1.3494563063479867, 0.3028983802562122, -0.20656975472594494, 1761170297633630597
 -1.3097250979407595, 0.2929988954358535, -0.25541573203341805, 1761170297723789106
 -1.2625162150146074, 0.278454748483318, -0.27421922872544535, 1761170297843401407
 -1.2260129153273582, 0.2620384102103539, -0.26950882193699544, 1761170297936657023
 -1.1876672361019551, 0.2620198472005875, -0.2333466709697225, 1761170298033826494
 -1.1444397855367427, 0.26194091703032646, -0.2463052047140953, 1761170298144327261
 -1.1040746742660235, 0.26556427815169364, -0.24058492004026072, 1761170298243872069
 -1.0716307325018586, 0.25519482218510436, -0.20988292631592884, 1761170298333972214
 -1.0362129695441435, 0.23839503892918565, -0.20325135435555886, 1761170298433713152
 -1.0052047321662119, 0.23277622051885513, -0.19724595626925592, 1761170298524055305
 -0.9728805223784169, 0.2223628313219482, -0.1910584454268112, 1761170298623865318
 -0.9379670436937162, 0.21270320303458554, -0.20500838433984764, 1761170298734965498
 -0.9069810392219368, 0.20872836156888486, -0.1976572196512363, 1761170298834300991
 -0.8775094430224537, 0.21209361165014404, -0.17260346411482771, 1761170298925165120
 -0.8398690793861463, 0.21308515069628356, -0.18404848365805748, 1761170299044693446
 -0.8101886058641887, 0.21593064984172528, -0.17582583458716464, 1761170299133854930
 -0.7980363402921489, 0.19215380807202312, -0.11347107738961015, 1761170299183745798
 -0.7499919863880824, 0.18103734284893805, -0.16530101442014836, 1761170299344142218
 -0.7255454487404442, 0.18007841106112632, -0.19852899105456512, 1761170299445706496
 -0.6991254487107819, 0.17925311700720678, -0.1380931090362894, 1761170299534644999
 -0.6742056753352696, 0.18209516806301781, -0.13217817730842252, 1761170299634633533
 -0.6453585184869048, 0.1883340800242587, -0.12875322450239965, 1761170299725986781
 -0.6093292623955922, 0.20558688327512345, -0.1357027019161303, 1761170299845691383
 -0.5858963778766126, 0.1889404526943296, -0.1275232095515454, 1761170299933839069
 -0.562501096421542, 0.1691784659206752, -0.10835968926253027, 1761170300030634276
 -0.5423203987457752, 0.14940254803270192, -0.1096252181204835, 1761170300128357421
 -0.519270938962836, 0.1374292871223405, -0.11354241663838824, 1761170300240368182
 -0.5021638804190687, 0.12604585563391738, -0.11012145589535251, 1761170300339620900
 -0.4860894547106591, 0.11696174753705905, -0.09512080132864908, 1761170300429660261
 -0.4703083720070591, 0.11242973620746362, -0.09210325839748398, 1761170300529060794
 -0.45033664232151516, 0.11283200741455963, -0.09871483650982635, 1761170300640179386
 -0.4414058842170485, 0.08982678154274798, -0.09562918814973738, 1761170300739689901
 -0.4247357897621402, 0.09169406250930405, -0.08313828646306753, 1761170300829635495
 -0.41485153122662766, 0.0963841646944531, -0.07906029679311455, 1761170300924843803
 -0.3964422002587149, 0.08764320017765988, -0.08689636177096764, 1761170301040543957
 -0.3873912019369765, 0.08475524735253621, -0.08423570575652446, 1761170301135664103
 -0.37996094947981884, 0.05649091144821836, -0.07568442863220462, 1761170301235641386
 -0.3744624115596551, 0.0452688247367344, -0.07208778115082895, 1761170301325067313
 -0.37228825488068473, 0.027816955732355913, -0.0707627880289451, 1761170301424055494
 -0.3732082318920096, 0.0045533594814689965, -0.0783146562030643, 1761170301534846412
 -0.37185438564724693, 0.0018848863232923195, -0.07738867303429814, 1761170301631838049
 -0.37079723887449356, 0.008413020895853414, -0.07093322521363095, 1761170301725551073
 -0.3731865089032551, -0.0030501441358962954, -0.0783525707267379, 1761170301842493793
 -0.3747593566725298, -0.012499966754727844, -0.07797278606075819, 1761170301934641397
 -0.37467435074318933, -0.005403539076353537, -0.07154929540360895, 1761170302033696377
 -0.37907914144064003, -0.015843191868744333, -0.07150486949867349, 1761170302124727499
 -0.39280461382860254, -0.05487482912718248, -0.07992013261477983, 1761170302242809545
 -0.3983066033206528, -0.08052301921461047, -0.06318296762443043, 1761170302286708754
 -0.42900359989519243, -0.11131366181975594, -0.07770110671083637, 1761170302433859860
 -0.44678264379374255, -0.18800948597787628, -0.08373922914224265, 1761170302483882522
 -0.5274991411337995, -0.2866210318663838, -0.0982457405100809, 1761170302643893560
 -0.5950570434728824, -0.41496400985204535, -0.13143221842330052, 1761170302735132697
 -0.70331264332739, -0.6092067507948408, -0.11613413848258604, 1761170302834708152
 -0.8410136834039617, -0.8696810569515527, -0.1355348078783722, 1761170302925189528
 -1.0930805648625297, -1.2086334331907442, -0.1848676250535861, 1761170303044991547
 -1.3454182062456181, -1.6333397480545095, -0.22962253851154918, 1761170303135241365
 -1.656815537272732, -1.9853628314269975, -0.25771843520987714, 1761170303233781771
 -1.9050697368695702, -1.9587189989545337, -0.3107022590123648, 1761170303325184127
 -2.164621183693345, -1.6288614653307123, -0.4027306347648233, 1761170303444764141
 -2.304425176651736, -1.242100383483354, -0.44500101992190183, 1761170303534625411
 -2.4141697759634173, -0.8842895382310126, -0.43569258978358305, 1761170303634657607
 -2.4902984616400126, -0.6451656598055561, -0.4585675261906368, 1761170303725459496
 -2.558893297890171, -0.46963082024571534, -0.5250243774546609, 1761170303845698319
 -2.5987415575477737, -0.3392118015402044, -0.533712252750927, 1761170303934814977
 -2.627133700180134, -0.24384563176965546, -0.4903158185933606, 1761170304034650302
 -2.6494165585125935, -0.17602426216611566, -0.5021215158157625, 1761170304126092276
 -2.670771330673387, -0.14122944003957805, -0.5565141559972078, 1761170304244726420
 -2.6815683237390595, -0.09956940889815948, -0.5590353121950234, 1761170304335684507
 -2.6865990668569406, -0.0565100773121994, -0.5089594232872241, 1761170304434661724
 -2.688740022313031, -0.024863650180078245, -0.5077754899658125, 1761170304524755374
 -2.6847863531278855, 0.002915662345828052, -0.5687900084932856, 1761170304646366869
 -2.685414521973159, 0.008467379009435156, -0.5640720855063768, 1761170304734735355
 -2.681771409946611, 0.0104037859157417, -0.4923501138910106, 1761170304829806440
 -2.6763292661948084, 0.030907174767864132, -0.5231166012295007, 1761170304929842813
 -2.6693071610897245, 0.03933478306446826, -0.5631016413522442, 1761170305040248585
 -2.6528955673102366, 0.0761202605362178, -0.5599399571148396, 1761170305139858835
 -2.642863558696987, 0.0917442906716101, -0.5055649957071169, 1761170305230666961
 -2.630703184257989, 0.07383307105798798, -0.5293210918673413, 1761170305340195784
 -2.605637666041611, 0.141160863583866, -0.4983576302758878, 1761170305420416181
 -2.572969314411521, 0.1947366226776761, -0.5217513876661566, 1761170305540630154
 -2.520907770953628, 0.2833847252262163, -0.5395388046338402, 1761170305630639353
 -2.460451922233191, 0.3773157583798945, -0.5016704441722337, 1761170305739855172
 -2.4078295821309066, 0.40324206962004805, -0.4665303171640127, 1761170305820049977
 -2.3102080289899485, 0.4884319813599826, -0.4805930164077192, 1761170305940702306
 -2.2250972722601547, 0.5780977373984012, -0.4921437219069322, 1761170306032696165
 -2.104630045135822, 0.6652737503458954, -0.45264988378966003, 1761170306145214787
 -1.9982057475521497, 0.7212584330414069, -0.44269330014988156, 1761170306242571947
 -1.89261373423048, 0.7455277591290925, -0.37911670104690953, 1761170306334917010
 -1.7784046042809654, 0.7666139170034724, -0.36114557283262194, 1761170306433680413
 -1.674462590826531, 0.7658042259062722, -0.338295857630001, 1761170306524775993
 -1.559103145771185, 0.7644479450561468, -0.31943955689560677, 1761170306624886387
 -1.4301792001680687, 0.7712646200816163, -0.3281891583061589, 1761170306735886911
 -1.3170863122290708, 0.7687125493755294, -0.3011593076713235, 1761170306834686800
 -1.2098847616088624, 0.7742931444953033, -0.2503378065066569, 1761170306925673340
 -1.072514542799536, 0.7755710969369104, -0.25267778915983014, 1761170307045281715
 -0.9675954150348212, 0.7682659215009702, -0.2278739149195585, 1761170307136018834
 -0.8504740669914401, 0.7802029254235947, -0.18271497147932056, 1761170307234912914
 -0.744123401705813, 0.7894068870864569, -0.1611825426663042, 1761170307324742966
 -0.6022981144928825, 0.7871997357617145, -0.15397072238397622, 1761170307445169683
 -0.4969158972999737, 0.77815858488073, -0.1299711698468109, 1761170307536268814
 -0.38107506713850364, 0.7740546525241191, -0.09399889336364729, 1761170307635670771
 -0.2688660786309773, 0.8040255349892286, -0.07240752434898584, 1761170307725675658
 -0.121262319264692, 0.8285506032137393, -0.053763362939175136, 1761170307844811544
 0.0026045298505097403, 0.8673427793541001, -0.027127828167780397, 1761170307935684618
 0.13652936009814065, 0.9009284594607804, 0.0011368619085716466, 1761170308035650155
 0.26042524449453575, 0.9053096197329754, 0.02530432398173174, 1761170308125676450
 0.42615919543489666, 0.9192209603063848, 0.05761736869568256, 1761170308245647978
 0.5597738780053584, 0.9605428820670036, 0.08684500995988652, 1761170308334713471
 0.7027532354115275, 0.9722020041252278, 0.10695552261774863, 1761170308435657553
 0.835535616364188, 0.9583970645948089, 0.13425336611882074, 1761170308526681086
 1.0160710710375866, 0.9956432490714914, 0.17809222335818212, 1761170308644820195
 1.1568886973351895, 1.0096265827703732, 0.21257276164422023, 1761170308738653585
 1.355504706255711, 1.1827084691725613, 0.22445976025980344, 1761170308835662213
 1.5724319886282847, 1.4515931298975435, 0.2600991150394426, 1761170308929677012
 1.7317975914036348, 1.3497588129834377, 0.28813340214486977, 1761170309021166397
 1.8713679658947575, 0.9725245399916457, 0.3626453077256607, 1761170309139881904
 1.9867066282722772, 0.8153716731303083, 0.3903624037971766, 1761170309230668005
