e, e_dot, e_int, stamp, 
0.873468631519134, -0.0003021181524213527, 0.17496652094260579, 1762986583850854788, 
0.873468631519134, -0.013337613786526722, 0.17496047857955735, 1762986583850854788, 
0.8644768263779656, -0.02997268380389458, 0.1740942726277489, 1762986583997032112, 
0.8648042268033147, -0.028881349052731025, 0.17351664564669428, 1762986584106920333, 
0.8732948120291981, 0.029393285504108285, 0.17350505768069854, 1762986584252880305, 
0.8798953197784396, 0.05030364325041633, 0.17453295724073015, 1762986584346922486, 
0.8798953197784396, 0.0220016924974716, 0.17553903010573849, 1762986584346922486, 
0.8843400100894295, 0.014815634369966432, 0.17627537664308726, 1762986584507105883, 
0.8670882244408807, -0.042690317791862865, 0.17542157028725, 1762986584607858307, 
0.8629036704912582, -0.07145446532723791, 0.17428879366810454, 1762986584746866050, 
0.8629036704912582, -0.013948513165408608, 0.17285970436155979, 1762986584746866050, 
0.8604243244519472, -0.008264486797703308, 0.17241544436229758, 1762986584906862444, 
0.8674966592539454, 0.015309962542290704, 0.17272164361314338, 1762986585003861552, 
0.8674966592539454, 0.023574449339994013, 0.17302784286398917, 1762986585003861552, 
0.8730125201414457, 0.018386202958334447, 0.17386705590995577, 1762986585164772134, 
0.8638397105868966, -0.01218982889016266, 0.1736232593321525, 1762986585256449852, 
0.8580439022039423, -0.049895393125011234, 0.17299307552881898, 1762986585405063656, 
0.8473248616458716, -0.05504949647008317, 0.17128056496244737, 1762986585496672398, 
0.8473248616458716, -0.035730135193569046, 0.1701795750330457, 1762986585496672398, 
0.841559459199476, -0.019218008154652244, 0.16908061216608125, 1762986585656996338, 
0.8566133804379196, 0.030961729306826502, 0.1696998467522178, 1762986585759187782, 
0.8519708006179446, 0.034704471394895554, 0.17000957601702268, 1762986585896877462, 
0.8565184986416915, -0.0003162726540935819, 0.17100684531317037, 1762986585998285085, 
0.8565184986416915, 0.015158993412489608, 0.17100051986008852, 1762986585998285085, 
0.8543189219199017, -0.007331922405966103, 0.171157061280219, 1762986586157025130, 
0.8510936610443025, -0.018082791991296625, 0.17079540544039304, 1762986586256869523, 
0.8510936610443025, -0.010750869585330522, 0.1704337496005671, 1762986586256869523, 
0.8268944320288667, -0.08066409671811936, 0.1686054502744981, 1762986586397135656, 
