e, e_dot, e_int, stamp, 
-1.6428131458746527, -0.013585472478325755, -0.32785771697631266, 1762986583850854788, 
-1.6428131458746527, -0.02166013745256823, -0.32812942642587917, 1762986583850854788, 
-1.6444118789953137, -0.0053291104022035185, -0.3286692113829746, 1762986583997032112, 
-1.642090916408087, 0.002407431555218794, -0.32862106275187025, 1762986584106920333, 
-1.6323057872471078, 0.04035363916068624, -0.32792057217670056, 1762986584252880305, 
-1.620082812337313, 0.07336034690258009, -0.3262986343995005, 1762986584346922486, 
-1.620082812337313, 0.04074324969931616, -0.32483142746144894, 1762986584346922486, 
-1.6123183479180203, 0.02588154806430894, -0.32349893150617637, 1762986584507105883, 
-1.603938773034483, 0.05381346434276679, -0.32242266221932103, 1762986584607858307, 
-1.5947954261174115, 0.058409739335362566, -0.32073683647132767, 1762986584746866050, 
-1.5947954261174115, 0.030477823056904718, -0.3195686416846204, 1762986584746866050, 
-1.5801670348202752, 0.04876130432378778, -0.31798385913700655, 1762986584906862444, 
-1.5569313289199296, 0.12621365732493986, -0.3154595859905078, 1762986585003861552, 
-1.5569313289199296, 0.0774523530011521, -0.31293531284400894, 1762986585003861552, 
-1.5260663846251186, 0.10288314764937005, -0.3093286028309985, 1762986585164772134, 
-1.502389988401563, 0.18180446839455522, -0.3056925134631074, 1762986585256449852, 
-1.480754623541141, 0.15103920361325832, -0.3006140664378549, 1762986585405063656, 
-1.4657704345679148, 0.12206517944549411, -0.29659433643404126, 1762986585496672398, 
-1.4657704345679148, 0.04994729657742095, -0.2941530328451314, 1762986585496672398, 
-1.4376563901804476, 0.09371348129155743, -0.29127981728775176, 1762986585656996338, 
-1.4395929349528338, 0.08725833205026993, -0.2895346506467464, 1762986585759187782, 
-1.4381073611136743, -0.0015032364440892287, -0.287690445749797, 1762986585896877462, 
-1.423804197168592, 0.05262912594747279, -0.2867669662156733, 1762986585998285085, 
-1.423804197168592, 0.04767721315027451, -0.28571438369672386, 1762986585998285085, 
-1.3824221210011958, 0.13794025389132067, -0.28200203435589194, 1762986586157025130, 
-1.3747883512877592, 0.16338615293610914, -0.2787343112971698, 1762986586256869523, 
-1.3747883512877592, 0.025445899044788483, -0.27546658823844766, 1762986586256869523, 
-1.3637760210187815, 0.03670776756325914, -0.27422351490628666, 1762986586397135656, 
-1.3210873045553266, 0.17900348910810862, -0.2706434451241244, 1762986586556984843, 
-1.3210767490361985, 0.1423309066086098, -0.2670626716406871, 1762986586656880752, 
-1.302587051367424, 0.061667510626342015, -0.2629834069972633, 1762986586796680686, 
-1.3031584039018413, 0.05972781711452398, -0.26178814695369756, 1762986586907910857, 
-1.3031584039018413, -0.0019045084480577106, -0.26059359061140713, 1762986586907910857, 
-1.2899073253052098, 0.04417026198877183, -0.2597482755405928, 1762986587057257891, 
-1.2904043721036345, 0.042513439327356295, -0.25889800675404573, 1762986587148058238, 
-1.2904043721036345, -0.0016568226614155357, -0.2580477379674986, 1762986587148058238, 
-1.2808284771919336, 0.03191964970566952, -0.2574424814266135, 1762986587306891197, 
-1.2676473782679483, 0.07585664611895397, -0.25592534850423443, 1762986587456884360, 
-1.2535721809813727, 0.09085432070186972, -0.25346986909608366, 1762986587546525063, 
