x, y, theta, stamp
 -0.01430040318518877, -0.0018865166930481791, -2.662633504533963, 1761171665449097522
 -0.014300432987511158, -0.0018865049351006746, -2.6626197193220182, 1761171665498386079
 -0.014300432987511158, -0.0018865049351006746, -2.6626109802336275, 1761171665549004355
 -0.014305070973932743, -0.0018846658058464527, -2.6625103782341495, 1761171665596134298
 -0.015441139228641987, -0.0023545632138848305, -2.650141978214933, 1761171665647036758
 -0.018284259364008904, -0.003998786211013794, -2.6364829910529055, 1761171665688628279
 -0.022725315764546394, -0.00651581771671772, -2.619005445304966, 1761171665739220871
 -0.029588954523205757, -0.01090928539633751, -2.5807251232827317, 1761171665806917893
 -0.0348476804792881, -0.014635691419243813, -2.552766035223453, 1761171665848250540
 -0.04240576922893524, -0.01983121782541275, -2.512971405565405, 1761171665898821699
 -0.05092771723866463, -0.026474811136722565, -2.4676468749771563, 1761171665949678938
 -0.059594880789518356, -0.03404836356639862, -2.4193752380607547, 1761171665997620292
 -0.06856707483530045, -0.042608655989170074, -2.367125211776029, 1761171666047767653
 -0.0762782022356987, -0.050407446920871735, -2.322120744516075, 1761171666089865560
 -0.0849679633975029, -0.060267310589551926, -2.2684324047100555, 1761171666139342017
 -0.09386041015386581, -0.0715656653046608, -2.212311880595393, 1761171666192224784
 -0.10294749587774277, -0.08568383008241653, -2.1508827475815684, 1761171666248611251
 -0.11055874824523926, -0.09806612879037857, -2.0936297911927917, 1761171666299286733
 -0.11699910461902618, -0.11042480170726776, -2.0392561126009308, 1761171666348625874
 -0.12289495766162872, -0.12337306141853333, -1.9866809335974331, 1761171666398687121
 -0.12827034294605255, -0.1369568258523941, -1.9335029904934828, 1761171666448600266
 -0.1318804770708084, -0.14755640923976898, -1.8921721388749904, 1761171666488633697
 -0.1358419954776764, -0.16110855340957642, -1.8381578747005696, 1761171666538851440
 -0.13892528414726257, -0.17469444870948792, -1.7842223746966466, 1761171666588603380
 -0.14186297357082367, -0.19105270504951477, -1.719638108635879, 1761171666648745738
 -0.14338162541389465, -0.2053261399269104, -1.6655513559096056, 1761171666698618946
 -0.14426060020923615, -0.21936823427677155, -1.6111139546939497, 1761171666748624690
 -0.14443327486515045, -0.23351110517978668, -1.5557382107088702, 1761171666798658044
 -0.14380595088005066, -0.24783124029636383, -1.5012822079215882, 1761171666848692792
 -0.14267104864120483, -0.25924134254455566, -1.4583031442607057, 1761171666889572940
 -0.14046479761600494, -0.2734634280204773, -1.4055513311707892, 1761171666939594081
 -0.13759979605674744, -0.28746268153190613, -1.3529441676878509, 1761171666988527336
 -0.13341499865055084, -0.30357280373573303, -1.288080227555832, 1761171667048619440
 -0.1291971355676651, -0.3170095682144165, -1.2329164152847418, 1761171667099817987
 -0.12399127334356308, -0.3301922380924225, -1.180184129599685, 1761171667148641035
 -0.11810988187789917, -0.34302645921707153, -1.1271699068728107, 1761171667198608302
 -0.11173149943351746, -0.3554157614707947, -1.0717890698798662, 1761171667248595531
 -0.10611226409673691, -0.3652825355529785, -1.028987001557278, 1761171667288555820
 -0.09821347892284393, -0.3774435818195343, -0.9765022141485797, 1761171667338607192
 -0.08994690328836441, -0.38883018493652344, -0.9226196785856877, 1761171667389186094
 -0.0790388286113739, -0.40217325091362, -0.8570454251480084, 1761171667448576644
 -0.06946521252393723, -0.4126153588294983, -0.8031821309022164, 1761171667498611921
 -0.059386856853961945, -0.4225732684135437, -0.7508428625658038, 1761171667548608795
 -0.04881344363093376, -0.43166330456733704, -0.7005849513068042, 1761171667598617210
 -0.037950895726680756, -0.44025301933288574, -0.6469168572094417, 1761171667648632272
 -0.02868744730949402, -0.4470161199569702, -0.604502978685062, 1761171667689554363
 -0.01695827953517437, -0.45476776361465454, -0.5523470347696191, 1761171667738598322
 4.960922524333e-05, -0.4640842378139496, -0.4799212215537487, 1761171667808940669
 0.007829390466213226, -0.46801871061325073, -0.4499822118340678, 1761171667839053618
 0.02342691272497177, -0.4747234582901001, -0.38841102996205684, 1761171667898978938
 0.03662560135126114, -0.479642391204834, -0.33598909752151307, 1761171667948784845
 0.05023035407066345, -0.4837048351764679, -0.28397165374141525, 1761171667998576800
 0.0749104842543602, -0.48928433656692505, -0.1878547603503777, 1761171668088636026
