x, y, th, stamp, 
0.0, 0.0, 0.0, 1759352046085239702
0.0, 0.0, 0.0, 1759352046135432884
0.0, 0.0, 0.0, 1759352046186452299
0.0, 0.0, 0.0, 1759352046245743646
0.0, 0.0, 0.0, 1759352046295319421
0.0, 0.0, 0.0, 1759352046345374499
0.0, 0.0, 0.0, 1759352046395465307
0.0, 0.0, 0.0, 1759352046435428015
0.0, 0.0, 0.0, 1759352046485440245
0.0, 0.0, 0.0, 1759352046535456826
0.0, 0.0, 0.0, 1759352046631853982
-3.6723954017077764e-07, 3.4133432306404354e-07, 0.0, 1759352046691295506
0.0, 0.0, 1.2156903039794997e-06, 1759352046740324970
-4.362497076162994e-07, 4.0547652250022673e-07, -4.764703589899e-06, 1759352046790363463
0.0, 0.0, 1.1908608712474233e-06, 1759352046840415192
0.0, 0.0, 0.0, 1759352046892929469
0.0, 0.0, 0.0, 1759352046930219284
0.0, 0.0, -1.1749291388696292e-06, 1759352046980949700
0.0, 0.0, 3.271487457823241e-06, 1759352047145224251
0.0, 0.0, 2.3344666715274798e-06, 1759352047196289141
0.0, 0.0, -1.1903114227607148e-06, 1759352047285346338
0.0, 0.0, 0.0, 1759352047335353603
0.0, 0.0, 0.0, 1759352047385586931
3.652315396114872e-07, -3.3946825854698687e-07, 4.986308340448886e-06, 1759352047445355243
0.0, 0.0, 3.581499640858965e-06, 1759352047495282355
-4.3664845584489037e-07, 4.058479325808285e-07, 1.1922656995011494e-06, 1759352047545275108
0.0, 0.0, 0.0, 1759352047591343727
0.0, 0.0, 0.0, 1759352047635280152
0.0, 0.0, 1.1911453157154028e-06, 1759352047685319928
0.0, 0.0, 0.0, 1759352047735334435
0.0, 0.0, 1.180290041702392e-06, 1759352047785834434
0.0, 0.0, 0.0, 1759352047831944168
0.0, 0.0, 0.0, 1759352047895421061
0.0, 0.0, 1.1719073427229887e-06, 1759352047946282288
0.0, 0.0, 0.0, 1759352047992290422
0.0, 0.0, 0.0, 1759352048035290979
0.0, 0.0, 1.1923926876988844e-06, 1759352048085278406
0.0, 0.0, 0.0, 1759352048135339209
0.0, 0.0, -1.2542423064587638e-06, 1759352048182861642
0.0, 0.0, 1.2055338629579637e-06, 1759352048232304172
-1.4899686105532591e-05, 1.739977215915164e-05, -0.00017036985082086176, 1759352048341391350
0.002404327799653333, -0.0011500395643211478, 0.018809320405125618, 1759352048393345281
0.05255580973153994, 0.002752459563080845, 0.14712677896022797, 1759352048435298342
0.09202718939118741, 0.009747990508822415, 0.2064121812582016, 1759352048485304671
0.1256589424731369, 0.006851710973973271, 0.29152366518974304, 1759352048535462150
0.1598640587097118, 0.010035733765451837, 0.3954642415046692, 1759352048583284318
0.19388791287470347, 0.007453920029592164, 0.4653426706790924, 1759352048633542448
