odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
8.509750273333339e-07, -9.824907465372235e-07, 9.778040229987463e-06, 0.0, 1.1361224461214903e-11, 0.035761399627595856, 0.018954443510988246, 0.027545617471011478, 1764197045128779344, 
9.547505896989605e-07, -1.1023058732462232e-06, 1.0969730476890606e-05, 0.0, 5.6321940167247675e-11, 0.1273980968660156, 0.04720675072589215, -0.05096300884478477, 1764197086592371196, 
9.339954658571514e-07, -1.0783428479044233e-06, 1.073128845031175e-05, 0.0, -6.20928031214163e-11, 0.13909839901759774, 0.0316258216682494, -0.030013340170622595, 1764197086732277819, 
9.339954658571514e-07, -1.0783428479044233e-06, 1.0731287433592225e-05, 0.0, 0.0, 0.126705677575912, 0.03292423174692335, -0.03155167667071689, 1764197086832315890, 
9.339954658571514e-07, -1.0783428479044233e-06, 1.0731288846891395e-05, 0.0, 4.989880153516424e-08, 0.11726375997653525, 0.03397466038534463, -0.008185892504929624, 1764197086928159982, 
9.339954658571514e-07, -1.0783428479044233e-06, 1.0731288589281435e-05, 0.0, 0.0, 0.10576958551047354, 0.043374502379081574, -0.022941261601501766, 1764197087133353078, 
0.001294504851102829, 2.8525708330562338e-05, -0.010849476001487304, 0.02519719150191461, -0.21176733076572418, 0.09665555564201674, 0.0444532435062036, -0.011162367723092034, 1764197087232393131, 
0.00856843963265419, -0.0006297297077253461, -0.07276868001268601, 0.07834544872877074, -0.6474368572235107, 0.11233567289261405, 0.0360030439343618, -0.1154128066699303, 1764197087340615826, 
0.031067391857504845, -0.0031434972770512104, -0.16381945672570697, 0.11520001541997572, -0.5090537071228027, 0.09234112980523725, 0.07874752889599629, -0.12724439934962875, 1764197087532139072, 
0.04208231344819069, -0.005452184937894344, -0.21312000517713192, 0.10931473152096241, -0.5149256587028503, 0.10645556938004536, 0.07595680055091666, -0.1719224302371744, 1764197087630908092, 
0.0525062195956707, -0.00796399638056755, -0.26786075955621225, 0.10718281804214375, -0.5536590814590454, 0.12139543152782967, 0.07218867994750856, -0.25582929254561937, 1764197087733527130, 
0.07152429223060608, -0.014336451888084412, -0.37203520638850845, 0.09780380045017077, -0.5658941268920898, 0.13068576805866886, 0.06439774742745594, -0.33885374013431563, 1764197087932587142, 
0.08110300451517105, -0.01881762221455574, -0.44362748740145025, 0.10488181746718053, -0.6919042468070984, 0.14541571885346857, 0.05647722826793895, -0.4363774557693224, 1764197088032462917, 
0.09034083038568497, -0.023350102826952934, -0.49038208510368037, 0.10281482960244351, -0.42508041858673096, 0.15423160142214867, 0.05306863265873361, -0.48009000359815124, 1764197088133446923, 
0.11173024773597717, -0.036363083869218826, -0.5896530400648717, 0.11701480999840538, -0.4680706262588501, 0.1696359473652683, 0.03931799451591586, -0.5568876637639001, 1764197088332589967, 
0.12190905213356018, -0.04333949089050293, -0.6392845915456612, 0.12231269423296948, -0.49105045199394226, 0.18193871542488052, 0.03421523143972809, -0.6336078495542695, 1764197088431872155, 
0.14227047562599182, -0.060098208487033844, -0.7435124858308814, 0.16066827951668392, -0.5321300029754639, 0.1979155680999739, 0.0221732843087881, -0.7075621900826057, 1764197088641783425, 
0.15162797272205353, -0.06913480162620544, -0.7933331821442267, 0.13528392184511306, -0.5089240670204163, 0.2068575632209097, 0.00982239901778455, -0.7635492580687689, 1764197088736468359, 
0.15768681466579437, -0.07528243958950043, -0.836401242672777, 0.08349018222382912, -0.46246209740638733, 0.21878445593017815, -0.001578928963014486, -0.8306715291793596, 1764197088828349084, 
0.1634339690208435, -0.08166036754846573, -0.8837424439396458, 0.08589434093605065, -0.5253556966781616, 0.22518411463008126, -0.007468064367319681, -0.9148365715029987, 1764197088928584241, 
0.1699725091457367, -0.09046505391597748, -0.9432189512803001, 0.10032132906579669, -0.52528977394104, 0.2305334127779487, -0.015372155453280925, -0.9710075664261407, 1764197089042330543, 
0.17510683834552765, -0.0975072830915451, -0.9861334919644775, 0.09569277651157139, -0.45663702487945557, 0.2314728992820588, -0.0298619940999398, -0.9977199838965356, 1764197089132351571, 
0.18423134088516235, -0.11214299499988556, -1.0309113459997785, 0.08847323637930989, -0.1947833001613617, 0.23397018636230726, -0.03843325874289482, -1.0777571042109966, 1764197089332288263, 
0.18944890797138214, -0.1216212660074234, -1.091880043289675, 0.09596085902391645, -0.6001242399215698, 0.23351696369475033, -0.04186958307646665, -1.1416042158091717, 1764197089442426820, 
