x, y, theta, stamp
 0.5089269761368967, 1.7582077935305878, 0.881448333028583, 5955450000000
 0.508926968454774, 1.7582077829791698, 0.8814483316984366, 5955484000000
 0.5089269644853675, 1.7582077770140294, 0.8814483327876985, 5955518000000
 0.5089269670475371, 1.7582077791410848, 0.8814483407859464, 5955552000000
 0.5111247098300107, 1.7608777024859807, 0.8830672393738339, 5955620000000
 0.5185066182940127, 1.7697392573100312, 0.8581891268358411, 5955722000000
 0.5300224945757481, 1.7819855505207907, 0.7664708889796269, 5955824000000
 0.5467438192130809, 1.7958416755972222, 0.6116338573288546, 5955926000000
 0.5663539569565306, 1.807314288137051, 0.44615286588727837, 5956028000000
 0.5875947577343366, 1.8153861292358853, 0.27993694520423523, 5956130000000
 0.609864307156897, 1.8198672175225634, 0.11928175598716832, 5956232000000
 0.6249790395167069, 1.820889894429021, 0.014904883533326297, 5956300000000
 0.6401044630074202, 1.8204075794162387, 6.204920522180978, 5956368000000
 0.6699036761095708, 1.815426611278618, 6.034629600251813, 5956504000000
 0.6915157434036588, 1.8086784522477393, 5.927268745360921, 5956606000000
 0.712333720184934, 1.7998658211434906, 5.842193531775224, 5956708000000
 0.7320383578815501, 1.789618974729893, 5.763959323861208, 5956810000000
 0.7507193399856031, 1.777983651047631, 5.683868977746904, 5956912000000
 0.7682832170154258, 1.7651130496890863, 5.6240766944663525, 5957014000000
 0.7857884348641258, 1.7509640660695167, 5.584675818008712, 5957116000000
 0.8027736917907466, 1.7362062692769955, 5.553064148266156, 5957218000000
 0.819325805924138, 1.7210022827523357, 5.529516446256973, 5957320000000
 0.8301808050480471, 1.7106879543018052, 5.516802316441508, 5957388000000
 0.846259718584015, 1.69501402054203, 5.504030221378898, 5957490000000
 0.8621609240673781, 1.679163763564852, 5.494856159236146, 5957592000000
 0.8779385669256581, 1.663192660648659, 5.488623110732634, 5957694000000
 0.8936366990930525, 1.6471447940985318, 5.485215797305691, 5957796000000
 0.9092863579612388, 1.6310475723841404, 5.482788409893901, 5957898000000
 0.9249079954605223, 1.614920791768261, 5.481347815446376, 5958000000000
 0.9405144252848322, 1.598779212340234, 5.48074596897316, 5958102000000
 0.9561096389394041, 1.5826390750839174, 5.4806166461184205, 5958204000000
 0.9716975233573639, 1.5665065725092056, 5.480774722835587, 5958306000000
 0.987287324035025, 1.5503796424574972, 5.481111927698466, 5958408000000
 1.0028862985281606, 1.5342567953608857, 5.481565575147723, 5958510000000
 1.0184957215433452, 1.5181388869641204, 5.48205247696927, 5958612000000
 1.0341158321365207, 1.5020262032191802, 5.4825352033187515, 5958714000000
 1.0497463542745484, 1.485918629100512, 5.482991068220516, 5958816000000
 1.060171959760144, 1.4751827178044814, 5.483298640570267, 5958884000000
 1.0758144511914607, 1.4590865670535655, 5.48370922221485, 5958986000000
 1.091457748432314, 1.4430016007162403, 5.48406452618049, 5959088000000
 1.1071031034395147, 1.426924718751362, 5.484371929925828, 5959190000000
 1.1227546260342107, 1.4108502608285878, 5.484629907281946, 5959292000000
 1.1384132475019646, 1.3947764893504153, 5.484872143841992, 5959394000000
 1.1540781093447634, 1.3787029255636893, 5.485050657862506, 5959496000000
 1.1697455102976069, 1.3626320711998066, 5.485200886390992, 5959598000000
 1.1854118801409281, 1.346566682151384, 5.485328185260972, 5959700000000
 1.2010774982580275, 1.3305057582358675, 5.485432994387115, 5959802000000
 1.2167453556309038, 1.3144455192296534, 5.485516679793106, 5959904000000
 1.2324173221954673, 1.2983834759279969, 5.485581293236034, 5960006000000
 1.248091699268972, 1.2823207980129874, 5.485630660483065, 5960108000000
 1.2637658930334834, 1.2662601732832803, 5.4856698131173465, 5960210000000
 1.2794386403029885, 1.2502023812830727, 5.485702038377356, 5960312000000
 1.2898868702831543, 1.239498064766318, 5.485720746948157, 5960380000000
 1.3055603004921543, 1.2234412317812493, 5.485741753476556, 5960482000000
 1.3212358144945162, 1.2073830462362165, 5.485756556188265, 5960584000000
