e, e_dot, e_int, stamp
 -2.2828233222577587, -0.005174482390381399, -0.1552080588088104, 6383714000000
 -2.279885304221018, 0.02362948705399186, -0.15515342713659752, 6383748000000
 -2.2674284926442643, 0.1509297020930831, -0.15481644136678893, 6383782000000
 -2.2467738374137944, 0.3246222236002297, -0.15399931971032574, 6383816000000
 -2.2213339185839884, 0.45190758882623366, -0.15267215496921974, 6383850000000
 -2.189576994343232, 0.5607533634368872, -0.1509075210077297, 6383884000000
 -2.150057282907545, 0.6987905458474861, -0.14871527910558802, 6383918000000
 -2.0523703937213957, 0.866305451262369, -0.2173281588130539, 6383986000000
 -1.786607418234684, 1.1302371418112986, -0.40725438645072654, 6384122000000
 -1.5849236960211397, 1.3104769732960069, -0.4302961862995261, 6384224000000
 -1.3846421269417521, 1.313612063048797, -0.32341978040143515, 6384326000000
 -1.1902622257734239, 1.2897433668226006, -0.2828683073140694, 6384428000000
 -1.0040411195354437, 1.243794141850681, -0.24336829211304212, 6384530000000
 -0.8989224272263485, 1.1238534140575913, -0.17528279377699554, 6384598000000
 -0.7532093862746053, 0.9914741157365556, -0.15051646620539585, 6384700000000
 -0.6262307875970263, 0.8911491491154321, -0.15492865687466265, 6384802000000
 -0.5093052324172521, 0.7970723982266446, -0.12843468762764407, 6384904000000
 -0.41010923211229144, 0.706279593087369, -0.10510387714460673, 6385006000000
 -0.3227202535984599, 0.609754832741151, -0.08446516083270422, 6385108000000
 -0.2559660856346532, 0.5037357728027395, -0.0672380988514875, 6385210000000
 -0.19878369291411602, 0.40502144014491465, -0.05286796218601157, 6385312000000
 -0.15736773425017336, 0.3222168345898033, -0.04162399087032809, 6385414000000
 -0.1240645819437427, 0.24418010121037034, -0.03265468861934618, 6385516000000
 -0.0977408164793303, 0.1948592084014479, -0.02578377302178075, 6385618000000
 -0.0768254084820672, 0.15437638386168465, -0.020306894869549532, 6385720000000
 -0.06087569327265818, 0.12047425884533375, -0.016010050439915786, 6385822000000
 -0.048241279142831495, 0.09341218738312324, -0.012644081901033867, 6385924000000
 -0.038294449786973495, 0.07379491335191075, -0.010023976709767495, 6386026000000
 -0.03263069589503065, 0.060269477757425714, -0.006752764073407353, 6386094000000
 -0.026085966149691053, 0.04915150517403224, -0.005497296337129394, 6386196000000
 -0.020918908179694995, 0.038273816063188415, -0.0054152187752603345, 6386298000000
 -0.016843298739972035, 0.0302047954565981, -0.004341675768716349, 6386400000000
 -0.013904987510794165, 0.022921309375492912, -0.0035133692212713607, 6386502000000
 -0.011383394575829264, 0.01784282406582605, -0.002864954296208491, 6386604000000
 -0.009321419156666622, 0.014978981549436415, -0.002353466484543723, 6386706000000
 -0.007738094476317237, 0.011912745423241921, -0.0019341177581992921, 6386808000000
 -0.006460136292510299, 0.009350597595282102, -0.0015993361949336025, 6386910000000
 -0.005446657735378224, 0.0074883553625457915, -0.0013358524182859916, 6387012000000
 -0.00461418559946658, 0.006032518604718036, -0.0011234266146601469, 6387114000000
 -0.0039885693701622316, 0.0047649946575686036, -0.0009553600639404783, 6387216000000
 -0.0034658528809483613, 0.0037527213023471214, -0.0008206653338392476, 6387318000000
 -0.0031542945353093543, 0.003235470613308434, -0.0006011606178971303, 6387386000000
 -0.0027732435807816813, 0.0027725113496280505, -0.0005322921564988991, 6387488000000
 -0.002455280332793741, 0.0022843601389399126, -0.0005700316545241647, 6387590000000
 -0.0021803237034054845, 0.0019376466580921464, -0.0005038016379547017, 6387692000000
 -0.0019365167726892452, 0.0016953057519754771, -0.00044690421500441594, 6387794000000
 -0.0017523651857924705, 0.0013985572471013532, -0.00039910598500832953, 6387896000000
 -0.0016221485952216952, 0.001027346985188072, -0.0003611500776518319, 6387998000000
 -0.0015336995637218465, 0.0007145935361785099, -0.0003337585074420488, 6388100000000
 -0.0014666299746890488, 0.0005082307860544001, -0.00031432851308701613, 6388202000000
 -0.0014169125754266432, 0.00038165682449412837, -0.00030037246374095257, 6388304000000
 -0.0013848798915088167, 0.00026715713457592166, -0.00029025272603046655, 6388406000000
 -0.0013708751643450867, 0.00015044905582207993, -0.00028374139892707714, 6388508000000
 -0.0013821719694799839, 8.849418394878613e-06, -0.0002813790377227043, 6388610000000
 -0.0014508384695854915, -0.0002613179909817149, -0.0002858642210319182, 6388712000000
 -0.001608516429084439, -0.0007396877764851473, -0.0003020238270341941, 6388814000000
 -0.0018890333920600355, -0.0014320095505704056, -0.0003364904037696376, 6388916000000
 0.010130782167679264, 0.05800394240729853, 0.00037588316630363805, 6388984000000
 0.03096352109234335, 0.12700151066755894, 0.002221631959184546, 6389086000000
 0.05398771316535811, 0.14332330391398315, 0.006465577116925888, 6389188000000
 0.08573439217035084, 0.17898977476473035, 0.011606622597107555, 6389290000000
 0.15519344131401347, 0.3307376736884162, 0.020054257172181122, 6389392000000
 0.25743182946598786, 0.7281589260510595, 0.028240380900519956, 6389460000000
