e, e_dot, e_int, stamp
 2.6960066364391753, -4.531673931967305e-05, 0.1833286022029916, 130216000000
 2.6949289924404405, -0.010585099537634987, 0.18330407083338565, 130250000000
 2.6927745895878994, -0.031686733836037956, 0.18323076495193039, 130284000000
 2.6800920322899473, -0.06256786227312212, 0.3657400678490957, 130386000000
 2.661405235185079, -0.10251423007457576, 0.5463304862802789, 130488000000
 2.6400274123883065, -0.1309301303975189, 0.5427436782307066, 130590000000
 2.618217751389825, -0.14113556795834695, 0.5385362271294982, 130692000000
 2.5961160835902466, -0.1435010745034638, 0.5340965648210496, 130794000000
 2.5738677180800225, -0.14493474937843984, 0.5295977056080864, 130896000000
 2.5590389406847858, -0.14539716210156592, 0.43797795540011975, 130964000000
 2.53693651739755, -0.1449202267323229, 0.43462444664920025, 131066000000
 2.5151276158545413, -0.1435010615367468, 0.5175550090277076, 131168000000
 2.493776189866181, -0.14104682199793792, 0.5131171419720425, 131270000000
 2.4730213253343343, -0.13760225660198358, 0.5087709089117438, 131372000000
 2.4529628311431693, -0.133376989290888, 0.5045437035513705, 131474000000
 2.433580822105897, -0.1288905334262649, 0.5004504185436712, 131576000000
 2.414944962381041, -0.12424140118342623, 0.4965012258628473, 131678000000
 2.3971726966232345, -0.11898080223092387, 0.4927074967154917, 131780000000
 2.3800167609438994, -0.11414444914098525, 0.4890651405564758, 131882000000
 2.3634847118127187, -0.11009145362913669, 0.48556584351782994, 131984000000
 2.3475519806921907, -0.10609405311015892, 0.48219163483451893, 132086000000
 2.3318788539075768, -0.10328711733706512, 0.47891825715604897, 132188000000
 2.316495976296303, -0.1014902104440772, 0.47572302314093273, 132290000000
 2.306369707746671, -0.0999094131886326, 0.3941021904838645, 132358000000
 2.291208422029425, -0.09918525667220328, 0.39179753267743594, 132460000000
 2.275984592081686, -0.0992977636110622, 0.46740226508632915, 132562000000
 2.2606430829414284, -0.0998867290457403, 0.46429285459957265, 132664000000
 2.2450232687887772, -0.1011807950748657, 0.46115226417920857, 132766000000
 2.2290793021723374, -0.10314961035650634, 0.45796270446537285, 132868000000
 2.2127824581865325, -0.1053621261511265, 0.45470818198204, 132970000000
 2.1960869185565604, -0.10781824711038253, 0.4513805101662492, 133072000000
 2.178921112770045, -0.11065799155714816, 0.4479697532868933, 133174000000
 2.17309289000449, -0.11323684340908607, 0.2968472417670097, 133208000000
