x, y, theta, stamp
 4.139727629655825, -4.088398413001527, 5.494152911074353, 192722000000
 4.139727617072992, -4.08839840027623, 5.4941529251251895, 192756000000
 4.139727606545448, -4.08839838974228, 5.494152937501814, 192790000000
 4.140745759121323, -4.089423833687265, 5.4944021665058, 192824000000
 4.142578599784315, -4.091267986240475, 5.495091063623812, 192858000000
 4.145227862092479, -4.093930064721554, 5.495605504208722, 192892000000
 4.148693782763533, -4.097410023636747, 5.4959186484450875, 192926000000
 4.152976438012124, -4.1017068689778355, 5.496381530222754, 192960000000
 4.158077298443916, -4.106819306858128, 5.496919194624227, 192994000000
 4.163997285566173, -4.112746901622613, 5.497353966672441, 193028000000
 4.170736572697121, -4.1194892729027375, 5.497773138537303, 193062000000
 4.178296006717419, -4.1270453646586285, 5.498253786840066, 193096000000
 4.1864525600571705, -4.135200845008762, 5.496605572638755, 193130000000
 4.194979876018298, -4.1438134891514, 5.487164940768765, 193164000000
 4.203793583160386, -4.152974677090261, 5.4682484299378045, 193198000000
 4.212803580490536, -4.162768031987706, 5.443016741350696, 193232000000
 4.221921014621587, -4.173255970425387, 5.411646749316198, 193266000000
 4.231033045588492, -4.1845173010170456, 5.37224931810521, 193300000000
 4.240000312442692, -4.196639276628062, 5.325195662328069, 193334000000
 4.248672508402245, -4.209690751845314, 5.271508647356141, 193368000000
 4.256634056112108, -4.223267697195329, 5.214288297036386, 193402000000
 4.263819029949443, -4.23726628996046, 5.159741710801528, 193436000000
 4.270243293433152, -4.251628343936079, 5.106367187501976, 193470000000
 4.2758794249724215, -4.2663201679964375, 5.051185856285699, 193504000000
 4.280691642933849, -4.281302730212688, 4.995813990916699, 193538000000
 4.287827606701426, -4.311942516963493, 4.887056597059754, 193606000000
 4.29157083035371, -4.34317982933917, 4.777212418339686, 193674000000
 4.290757199782325, -4.39033817732352, 4.612944720844585, 193776000000
 4.282296785538065, -4.436437143907829, 4.446584013464974, 193878000000
 4.266195813071866, -4.479911181644334, 4.27030424364859, 193980000000
 4.24259226832569, -4.5204869990402035, 4.102910786372831, 194082000000
 4.212495019153528, -4.556762841794042, 3.9383205868239903, 194184000000
 4.176822209138106, -4.587719485931593, 3.775830434865729, 194286000000
 4.1365864635626295, -4.612577562534655, 3.6155169257544184, 194388000000
 4.093010275318328, -4.630674316984744, 3.455648346269838, 194490000000
 4.047394048361096, -4.641480416835325, 3.293420736873492, 194592000000
 4.000657557739797, -4.644783152412153, 3.133457323742044, 194694000000
 3.9537567274398007, -4.640731374148671, 2.979206559095163, 194796000000
 3.907962824723082, -4.629618697854905, 2.828563804398069, 194898000000
 3.8644969170965067, -4.611853608340227, 2.6785871556653924, 195000000000
 3.8240837164208314, -4.587807207763515, 2.532225712580036, 195102000000
 3.799183252610953, -4.568621265275753, 2.4376206880346216, 195170000000
 3.765423677681727, -4.535663108089942, 2.2984307382400906, 195272000000
 3.736545420842936, -4.498427245437429, 2.1621579914357074, 195374000000
 3.712949773998845, -4.457680296165132, 2.029525037113075, 195476000000
 3.694898335713537, -4.414389292781154, 1.9033170872550071, 195578000000
 3.6823242186142284, -4.369230468498243, 1.783613747717121, 195680000000
 3.674925666691615, -4.322772774170818, 1.676229753836152, 195782000000
 3.672322597557971, -4.275752806126846, 1.5783641760749862, 195884000000
 3.6741532443194744, -4.228763000754012, 1.4886339744346708, 195986000000
 3.6800083760482805, -4.182152275769094, 1.4069740555441523, 196088000000
 3.689392803991926, -4.136041763348672, 1.3352459534101389, 196190000000
 3.7018593826602086, -4.090678942591003, 1.272222949161427, 196292000000
 3.71696253547498, -4.046136953388358, 1.2178420648277806, 196394000000
 3.734269034026451, -4.002416774096599, 1.1720453869061904, 196496000000
 3.7404600092998908, -3.988020230993971, 1.1574253399755028, 196530000000
 3.7669193797506035, -3.931212443467388, 1.1141727707347613, 196666000000
 3.788164448194618, -3.8893439324593997, 1.0897854152018702, 196768000000
 3.8102470112549556, -3.847894381776195, 1.0743753680954997, 196870000000
 3.832748862588555, -3.8067312846761494, 1.0667618265660295, 196972000000
