odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
3.9612757518625585e-13, 3.375077994860476e-14, -8.755697653401559e-10, 0.0, 3.279216969076515e-07, 0.8936210174374085, -2.1837602599878303, -2.676871328563454, 1762985263386948527, 
-2.062640014344197e-08, 2.4150704547309942e-08, -2.393095205849886e-07, 0.0, 3.247203039791202e-07, 0.9019528022642234, -2.189528683056389, -2.6713063521615608, 1762985263588340323, 
-2.062640014344197e-08, 2.4150704547309942e-08, -2.393210908455814e-07, 0.0, 3.080499766383582e-07, 0.9024193647648648, -2.1942234503935834, -2.681194952515783, 1762985263847840211, 
-2.062640014344197e-08, 2.4150704547309942e-08, -2.39331396514394e-07, 0.0, -1.591696635605544e-10, 0.9021163836241, -2.188789601422661, -2.674178878408885, 1762985263988324439, 
-2.062640014344197e-08, 2.4150704547309942e-08, -2.393374440330367e-07, 0.0, -1.193296611745609e-06, 0.8984236093780614, -2.1833512521539027, -2.6726876173836716, 1762985264248929920, 
-2.062640014344197e-08, 2.4150704547309942e-08, -2.393395894015042e-07, 0.0, -3.9740842794344644e-07, 0.8963203681049916, -2.1847459561598326, -2.678533905293507, 1762985264348345814, 
-2.062640014344197e-08, 2.4150704547309942e-08, -2.3934162036172036e-07, 0.0, -1.6561453719532437e-07, 0.897537708561826, -2.1920095818285907, -2.676427669486639, 1762985264438335114, 
4.014566457044566e-13, 3.375077994860476e-14, -9.111972391086102e-10, 0.0, 3.164236517250174e-08, 0.8988437515584744, -2.1851589300317964, -2.6798512945539703, 1762985264548405997, 
4.014566457044566e-13, 3.375077994860476e-14, -9.313219992701407e-10, 0.0, -1.0695942048721818e-10, 0.8950532370819345, -2.1826514662455865, -2.6770165432192297, 1762985264748392141, 
0.0010998639045283198, -4.165966674918309e-05, -0.0006137003300262555, 0.021577334873779212, -0.011970913968980312, 0.8993984308926855, -2.1914818521093555, -2.676922306745005, 1762985264839345420, 
0.026231341063976288, -0.0008947582100518048, -0.02123634836572529, 0.19205552255580435, -0.15818080306053162, 0.8807225433582808, -2.2042460900617176, -2.6989360909934357, 1762985265028525197, 
0.05743841081857681, -0.002229617442935705, -0.04975420221676595, 0.2890118616062684, -0.2599070966243744, 0.8721134302236546, -2.2282651073763526, -2.7203947273235367, 1762985265148489606, 
0.08844243735074997, -0.004191218875348568, -0.0788360079688085, 0.35797457002257166, -0.3381028473377228, 0.8344077503902555, -2.228264700947171, -2.7472404219064828, 1762985265238354693, 
0.12906131148338318, -0.007767135743051767, -0.1141319883563253, 0.41468955164369353, -0.3462420403957367, 0.792923278507328, -2.2532532659070177, -2.7958708594993142, 1762985265338394205, 
0.1742345541715622, -0.013758091256022453, -0.15391708791564654, 0.4153781639793991, -0.363223671913147, 0.7386955426186081, -2.2704141850890913, -2.845196690582988, 1762985265448473021, 
0.25006482005119324, -0.028051843866705894, -0.2267970656139498, 0.4058292893210811, -0.3875131607055664, 0.6900083659649593, -2.293785754831711, -2.8921324333329843, 1762985265638339352, 
0.2896064221858978, -0.03770268335938454, -0.2649839952477185, 0.4063981164695837, -0.3597041070461273, 0.6332264145074651, -2.296631563134725, -2.9368737126069657, 1762985265738350714, 
0.3718107044696808, -0.06292448192834854, -0.34492144057350654, 0.4055140246867827, -0.4009363353252411, 0.5820067298436443, -2.309628355769398, -2.9827018351047885, 1762985265948343922, 
0.40624457597732544, -0.07574165612459183, -0.37767076181573633, 0.4141677651017461, -0.3600483238697052, 0.5275487986610291, -2.3153948249385947, -3.0260525361210844, 1762985266038347239, 
0.44392329454421997, -0.09135963022708893, -0.41434824670778586, 0.403312333861517, -0.38249123096466064, 0.477935305684591, -2.324635001532757, -3.0797033616080114, 1762985266138623584, 
0.4847661852836609, -0.11006606370210648, -0.4565993005393547, 0.40068522672263585, -0.3731405735015869, 0.4242416951321909, -2.3265212450870223, -3.122099480182877, 1762985266249149203, 
0.5213232040405273, -0.12866438925266266, -0.4916146978152142, 0.4151213208181678, -0.3570488691329956, 0.37070444148830045, -2.3353634802107752, 3.109732155950147, 1762985266348441656, 
0.59004145860672, -0.1681405007839203, -0.5547942722785185, 0.41369531419231037, -0.31039196252822876, 0.31787443604369364, -2.3299672871489467, 3.071519055871487, 1762985266538363395, 
0.6288551688194275, -0.19308684766292572, -0.586383448807934, 0.4301737158942987, -0.2929268181324005, 0.2601894990089929, -2.3282780780921155, 3.0295457203116074, 1762985266648399373, 
0.6633747816085815, -0.2166159749031067, -0.6151263003685028, 0.41273689329638286, -0.2902289032936096, 0.20922641784467894, -2.323587856168855, 2.995048854627051, 1762985266749428178, 
0.6938675045967102, -0.23872865736484528, -0.639426518653049, 0.4182575425806979, -0.2764503061771393, 0.15196662710335895, -2.308433647709961, 2.9587018587876823, 1762985266838782252, 
0.7638036012649536, -0.2937191128730774, -0.6956287261810877, 0.4251974690876609, -0.24762128293514252, 0.10004579013413219, -2.301624246888608, 2.9225681030396187, 1762985267048539892, 
0.7953739762306213, -0.32066601514816284, -0.7198049814778251, 0.41414808550897675, -0.2507871985435486, 0.037683689152293344, -2.288267351517457, 2.8923300861472017, 1762985267148462325, 
0.8221175670623779, -0.34439027309417725, -0.7416365058257713, 0.3941539844866415, -0.2449018955230713, -0.013962612124169473, -2.272906073874249, 2.865614422985954, 1762985267238344117, 
0.8488397598266602, -0.3696364462375641, -0.7634014815239453, 0.36474072829430465, -0.20949208736419678, -0.051821874387775864, -2.2696886984073656, 2.833912657773834, 1762985267338382477, 
0.8750742077827454, -0.3954351246356964, -0.7861473547781991, 0.3384374178560634, -0.2038843333721161, -0.09828674007780887, -2.250622361363917, 2.8077832227398276, 1762985267448372346, 
0.8957104682922363, -0.41648969054222107, -0.8051795155213642, 0.3028437499776126, -0.21069270372390747, -0.1329527626727302, -2.246155092692648, 2.7872449258922765, 1762985267543372320, 
0.9312691688537598, -0.4547825753688812, -0.8383978605511772, 0.24754402033008935, -0.1658332198858261, -0.16384286024232822, -2.232347918727479, 2.7621554772031773, 1762985267738372771, 
0.9469139575958252, -0.47240492701530457, -0.8571299585090825, 0.21073860111540274, -0.170672208070755, -0.18999489199309932, -2.2259914221119437, 2.7376676660786674, 1762985267848366909, 
0.9591777920722961, -0.48666447401046753, -0.8735693538857937, 0.18942456128024757, -0.18048451840877533, -0.21411968122327746, -2.2132850999276195, 2.720074627199036, 1762985267944367929, 
0.9793071746826172, -0.5110376477241516, -0.9086829632658048, 0.14299891895559314, -0.1874943971633911, -0.22644423499486313, -2.203003094485453, 2.6968085181833628, 1762985268139433327, 
0.9872621893882751, -0.5212107300758362, -0.9281352875168002, 0.14854731005344912, -0.2125880867242813, -0.2555236306956944, -2.1948258521855055, 2.669472533123401, 1762985268228426114, 
0.9972784519195557, -0.5343018770217896, -0.9536555053115809, 0.13813150101935637, -0.21484190225601196, -0.2657949042213285, -2.1928070027550604, 2.641014778324399, 1762985268345366508, 
1.009695053100586, -0.5521209239959717, -0.9951009259494601, 0.10208059653059758, -0.22101403772830963, -0.27525177710582766, -2.187568094097877, 2.6129851264559947, 1762985268539407999, 
1.0156627893447876, -0.5612601637840271, -1.0225775588526638, 0.09987913361188826, -0.2634645700454712, -0.2890908105075773, -2.179723960041057, 2.5807075580481573, 1762985268648387799, 
1.0205719470977783, -0.5694516897201538, -1.0435790789579158, 0.09543117171209484, -0.2266516387462616, -0.29732981972138295, -2.17614190819651, 2.5530896736173583, 1762985268745434353, 
1.0283535718917847, -0.5833905935287476, -1.094819016162148, 0.07088751510549995, -0.2870933413505554, -0.311026510997591, -2.168299545694079, 2.5148777795213753, 1762985268949036693, 
1.0451081991195679, -0.6209908127784729, -1.2834283471706225, 0.0, 0.0, -0.3454379669181654, -2.139704326693247, 2.3212375426626948, 1762985278629549843, 
1.0451081991195679, -0.6209908127784729, -1.2834283471706225, 0.0, 0.0, -0.3460621964643484, -2.133719234894724, 2.325850679442229, 1762985278749680485, 
1.0451081991195679, -0.6209908127784729, -1.2834283471706225, 0.0, 0.0, -0.34535607284167125, -2.140031584448006, 2.3295533744933845, 1762985278838946050, 
1.0451081991195679, -0.6209908127784729, -1.2834283471706225, 0.0, 0.0, -0.3487989236540691, -2.1395916633841545, 2.3225273881870554, 1762985278938579037, 
1.0451081991195679, -0.6209908127784729, -1.2834283471706225, 0.0, 0.0, -0.34332663025571475, -2.140738369644213, 2.3284654053195726, 1762985279048672120, 
1.0451081991195679, -0.6209908127784729, -1.2834283471706225, 0.0, 0.0, -0.3507762117682503, -2.134890746094233, 2.32552862662397, 1762985279148455623, 
1.0453355312347412, -0.6220576763153076, -1.285672272373724, 0.02172174269765159, -0.04552453011274338, -0.34869654567036484, -2.1333052641803243, 2.3148315272497206, 1762985279243457647, 
1.0513112545013428, -0.6457517743110657, -1.3185073347097949, 0.17674207018335045, -0.22610917687416077, -0.35669938252991, -2.126274143825505, 2.2951031152029526, 1762985279433676664, 
1.0579500198364258, -0.6727645397186279, -1.353460847724039, 0.27080083587187626, -0.3407811224460602, -0.3779245990643865, -2.0914967357078798, 2.2559024331078676, 1762985279544574680, 
1.0645837783813477, -0.7054652571678162, -1.3930066882546035, 0.34589001304349637, -0.40941953659057617, -0.41078449858872645, -2.0620516059428184, 2.2076456473710975, 1762985279643485207, 
1.0744203329086304, -0.7719918489456177, -1.4755651730293335, 0.33181837577120554, -0.40535953640937805, -0.42699309159966214, -2.0270608797204064, 2.1544155638240032, 1762985279844958891, 
