e, e_dot, e_int, stamp
 -1.3819640689641828, 1.2232877221360556, -0.098222227233374, 4330080000000
 -1.3156639299659423, 1.2643739104056173, -0.09389118286916866, 4330114000000
 -1.2530785441981003, 1.2635835761380638, -0.08954934831090645, 4330148000000
 -1.195727876688136, 1.1758436595863353, -0.08532799461931606, 4330182000000
 -1.1481861279325853, 1.0283570222109306, -0.08153183110655997, 4330216000000
 -1.105388223018707, 0.8856828791120487, -0.07818418382649373, 4330250000000
 -0.9721772043490056, 0.8549174294488114, -0.14623407050694684, 4330352000000
 -0.8455038540155817, 0.8492953235396256, -0.198768711134064, 4330454000000
 -0.7238624864101046, 0.8114860063362777, -0.17282496104467904, 4330556000000
 -0.6062307235322768, 0.7819383349127612, -0.14794060034914147, 4330658000000
 -0.48343942555808894, 0.785696277294169, -0.12332021921403197, 4330760000000
 -0.393512929078228, 0.6951561910263034, -0.10085644931546436, 4330862000000
 -0.31281012968465927, 0.557612078017744, -0.08090384893382638, 4330964000000
 -0.24318988932237762, 0.4912517639080078, -0.064566880469798, 4331066000000
 -0.18633605740779924, 0.4133139616890851, -0.05047885319620885, 4331168000000
 -0.14107682231900842, 0.33370283334434375, -0.03880098829534459, 4331270000000
 -0.10468322059982604, 0.26683933597376863, -0.02938253482221109, 4331372000000
 -0.08379597985989395, 0.2213217739512435, -0.018674841290794608, 4331440000000
 -0.059811346742739246, 0.1807695889772969, -0.014069797674806024, 4331542000000
 -0.04150081493893598, 0.13821949320574503, -0.012587353624826703, 4331644000000
 -0.02768208640314551, 0.10499758280912985, -0.008771608869767808, 4331746000000
 -0.01730951137477099, 0.07905654759531043, -0.005881484064745968, 4331848000000
 -0.010329317907064706, 0.056708393778041856, -0.0037618222665787215, 4331950000000
 -0.005025433678821578, 0.04014404475800462, -0.0022211698813246945, 4332052000000
 -0.0013567838397481324, 0.029322006755936516, -0.0011363844089431403, 4332154000000
 0.0009930997568563527, 0.019668409920516116, -0.00036646000779650827, 4332256000000
 0.002434963539771573, 0.012391331305619953, 0.00014084700306782593, 4332358000000
 0.0032293210478320233, 0.007307912715606768, 0.00045270213542327646, 4332460000000
 0.003574241106974796, 0.003723129304585696, 0.0006282197472313306, 4332562000000
 0.0036168719012934503, 0.0012665060570634867, 0.0007085895158148182, 4332664000000
 0.0034640163178298877, -0.0003602117292317261, 0.0007245487941746731, 4332766000000
 0.003191783568641249, -0.001389177557686933, 0.0006985416815679918, 4332868000000
 0.0028577749061007296, -0.0019811810840822163, 0.0006469230858948868, 4332970000000
 0.002506687619607817, -0.002238875650436052, 0.000581824734415786, 4333072000000
 0.0022706056613222003, -0.002304608574906332, 0.0004326538639317423, 4333140000000
 0.0019367064707873638, -0.0022484383266773247, 0.00038045998593065156, 4333242000000
 0.0016287804953742935, -0.002097467862574859, 0.00039685429866890225, 4333344000000
 0.001355030988428041, -0.001900900269148114, 0.0003345952209120994, 4333446000000
 0.0011175744433264967, -0.0016706080132280943, 0.0002788942430447605, 4333548000000
 0.0009240040113294157, -0.0014085848924791677, 0.0002309694421297088, 4333650000000
 0.0007567494260269925, -0.0011791667232009943, 0.0001902862958864375, 4333752000000
 0.0006145143457150226, -0.0010114041359947487, 0.00015607820924885726, 4333854000000
 0.0004994344362998504, -0.0008408986592390264, 0.00012720747814684683, 4333956000000
 0.0004081955150905259, -0.0006742445445244992, 0.00010350581220316711, 4334058000000
